wd24cd,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,SUBD__Belonging..Connections.and.Leisure__Sense.of.community,SUBD__Belonging..Connections.and.Leisure__Social.relationships,SUBD__Foundations.of.Prosperity__An.inclusive.economy,SUBD__Foundations.of.Prosperity__Secure.Livelihoods,SUBD__Health.and.Healthy.Environments__Healthy..safe.and.clean.neighbourhoods,SUBD__Health.and.Healthy.Environments__Healthy.bodies.and.healthy.minds,SUBD__Opportunities.and.Aspirations__Freedom..choice.and.control,SUBD__Opportunities.and.Aspirations__Good.quality.basic.education,SUBD__Opportunities.and.Aspirations__Lifelong.learning,SUBD__Power..Voice.and.Influence__Political.inclusion,SUBD__Power..Voice.and.Influence__Voice.and.influence,DOM__Belonging..Connections.and.Leisure,DOM__Foundations.of.Prosperity,DOM__Health.and.Healthy.Environments,DOM__Opportunities.and.Aspirations,DOM__Power..Voice.and.Influence,CPI_z,CPI_0_100
E05009376,3.2386556722895,3.27502074222423,6.73196320519394,5.52822439572873,6.52469178496486,5.24581351226551,5.81079671263269,6.38073848950951,6.48817283193923,3.99059156436138,6.14062676799165,5.1349012637722,4.415213206569224,6.026458090346795,5.5283051124491,5.61983429527004,5.637764015881925,0.08395660344351227,52.503711406787005
E05009377,2.09234519817361,3.90053247380493,6.71355473412168,6.07547133456591,6.7786660076475,6.02310763461937,5.28880126017466,5.91288220745875,6.17586871716036,4.02128729237277,5.72402809507346,5.10317233643292,4.235477468700074,6.427068671106705,5.655954447397015,5.370012738997294,5.41360021575319,-0.12186748356468913,48.73528880739954
E05009378,2.72045164876164,4.17536161885338,6.53844797503935,5.64944560276156,6.80337062711333,5.87317619938124,5.91491887100643,6.21496899485634,6.60623899016206,4.09783304806851,5.69365793379223,5.08282014182939,4.47808708088479,6.2264081149374455,5.894047535193835,5.639680344362303,5.38823903781081,0.21816273478007564,54.96088454748416
E05009379,3.1442519269916,4.70584890548358,6.44077104607515,5.2261731292418,6.30557464015284,6.0784570895527,5.74157762122665,5.86119598568902,6.63356339609653,3.61255977446715,4.89310585579854,5.13586109885085,4.763623959516776,5.76587388469732,5.910017355389675,5.369106385417567,5.014483477324696,-0.4268991201004866,43.15048029757804
E05009380,2.42718900444784,3.75169746086654,7.02343264679221,5.56537816066952,7.12797834217417,7.04312059433998,6.12761196845119,6.35292230300571,7.19935090440767,3.95641222214619,5.11138035617359,5.13627022450858,4.400773037368864,6.346678251421845,6.585366281395585,5.836228476519857,5.123825290341085,0.5105747338809287,60.31464076601564
E05009381,3.58319127189426,4.69350651683133,6.43725732745594,5.47124553876114,6.36232107698506,6.09124469316073,5.68484961963305,6.38277400324833,7.05623497521662,3.96975373624463,5.57985328984661,5.07954231021883,4.904651705393843,5.9167833078731,5.88804715639689,5.802920904903194,5.32969780003272,0.3655386963741713,57.65918343149923
E05009382,2.82311133154501,4.35787219852895,6.6800290520778,5.41412719663526,6.61205039273317,6.10516405507721,5.60398244385139,6.26455453253414,6.57458782012733,4.02066961106372,5.34779633378752,5.18603032101456,4.62033752738392,6.013088794684215,5.8545732494643,5.61993732124173,5.26691332740104,0.02811663892976899,51.48134037489607
E05009383,2.39010812864953,3.84959681255389,7.06599014170095,5.56099127797496,6.654482711329,6.44486727874518,5.70855848198871,6.26251110636843,6.45358793356349,3.22409242420371,5.17214004889434,5.26443360189052,4.435231694301456,6.1077369946519795,6.076712880366945,5.313397154711876,5.21828682539243,-0.18517947769553647,47.5761127704109
E05009384,2.93371591634432,4.29453626060708,6.72102304916651,5.59090781757851,7.03981227563168,6.86283122015546,5.63660084133139,6.52927896491261,6.25155408398704,3.5168592277479,5.29020816169153,5.25227085341316,4.64975840870597,6.315360046605095,6.249716030743425,5.43256409221585,5.271239507552345,0.30910647564655075,56.62596881111755
E05009385,4.56255347879007,5.10425001163003,6.64899333692952,5.47161845839291,7.03139956684914,6.28893238708209,6.11618070901791,6.8126201008421,6.69708248822275,3.82366076815841,5.84547528398879,5.1084777749101,5.4385989424498735,6.251509012621025,6.20255654805,5.777787785741086,5.476976529449445,1.2000671056545062,72.93852105944934
E05009386,3.19122238174756,4.57403070918865,6.73478760548469,5.45682542884879,6.68054424443215,5.19225869788524,6.04591172811551,6.32300983060317,6.91752621348257,3.81665970611314,5.67949965416026,5.23287053329311,4.833346898806966,6.06868483664047,5.619085213000375,5.68573191673296,5.456185093726685,0.2985984195589571,56.43357735387017
E05009387,2.8789881930768,4.16022780385751,6.64216036095612,5.49932341276514,6.69748363744308,6.19785183018569,5.70951441765293,6.27385308083727,6.53071457648724,3.72351565190071,5.41116049443814,5.10438910831111,4.560458785963476,6.09840352510411,5.95368312391931,5.509361103075073,5.257774801374625,0.004599590927601737,51.050767955261264
E05009388,3.04282123025785,4.61155978833832,6.73011186368797,5.58058612147798,7.01155037343168,6.28124187599503,6.05347293852409,6.34169039624787,6.94837653471705,3.62388013993011,5.3470522378568,5.16892443152466,4.79483096076138,6.29606824745483,6.16735740725956,5.63798235696501,5.2579883346907295,0.4840631157558531,59.82924091636208
E05009389,3.04392958990578,4.78792815972337,6.80297422788222,5.91514572143974,7.59553403801428,6.46526521681597,6.39771246469029,6.33346898529981,7.29096688808602,3.52707839282294,5.37461793269971,5.15580215120086,4.878277325837123,6.7553398797270106,6.43148884075313,5.7171714220695895,5.265210041950285,1.0216469412842828,69.67183546704644
