wd24cd,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,SUBD__Belonging..Connections.and.Leisure__Sense.of.community,SUBD__Belonging..Connections.and.Leisure__Social.relationships,SUBD__Foundations.of.Prosperity__An.inclusive.economy,SUBD__Foundations.of.Prosperity__Secure.Livelihoods,SUBD__Health.and.Healthy.Environments__Healthy..safe.and.clean.neighbourhoods,SUBD__Health.and.Healthy.Environments__Healthy.bodies.and.healthy.minds,SUBD__Opportunities.and.Aspirations__Freedom..choice.and.control,SUBD__Opportunities.and.Aspirations__Good.quality.basic.education,SUBD__Opportunities.and.Aspirations__Lifelong.learning,SUBD__Power..Voice.and.Influence__Political.inclusion,SUBD__Power..Voice.and.Influence__Voice.and.influence
E05009372,2.648372885068,4.22890538062108,6.91305809732244,5.76374401251313,6.65181742918556,6.27209320706332,5.23360621649923,6.32865201337229,6.83404386590662,3.89207223790789,5.51054677797747,5.13293625355927
E05009373,2.89261034055295,4.26419769418602,6.67513499887968,5.53555898718358,6.74539213820874,6.22658269210862,5.73059193887835,6.29890150369674,6.67691097274286,3.86253687733714,5.45261556705495,5.12740778422871
E05009374,2.29451428186555,4.17790131929044,6.72366259346654,5.47378863208878,6.91831796073253,6.58039247856713,5.92664695320719,6.24760763035638,6.42295699812541,3.64044680898134,5.41357214107203,5.113007163723
E05009375,2.35021532110748,4.73449260947512,6.71401016976898,5.54231383685451,6.7461061510624996,6.80685857672763,5.77132181424285,6.27673495483274,7.384444163866,4.05021938148564,5.58439697029913,5.03438752716868
E05009376,3.2386556722895,3.27502074222423,6.73196320519394,5.52822439572873,6.52469178496486,5.24581351226551,5.81079671263269,6.38073848950951,6.48817283193923,3.99059156436138,6.14062676799165,5.1349012637722
E05009377,2.09234519817361,3.90053247380493,6.71355473412168,6.07547133456591,6.7786660076475,6.02310763461937,5.28880126017466,5.91288220745875,6.17586871716036,4.02128729237277,5.72402809507346,5.10317233643292
E05009378,2.72045164876164,4.17536161885338,6.53844797503935,5.64944560276156,6.80337062711333,5.87317619938124,5.91491887100643,6.21496899485634,6.60623899016206,4.09783304806851,5.69365793379223,5.08282014182939
E05009379,3.1442519269916,4.70584890548358,6.44077104607515,5.2261731292418,6.30557464015284,6.0784570895527,5.74157762122665,5.86119598568902,6.63356339609653,3.61255977446715,4.89310585579854,5.13586109885085
E05009380,2.42718900444784,3.75169746086654,7.02343264679221,5.56537816066952,7.12797834217417,7.04312059433998,6.12761196845119,6.35292230300571,7.19935090440767,3.95641222214619,5.11138035617359,5.13627022450858
E05009381,3.58319127189426,4.69350651683133,6.43725732745594,5.47124553876114,6.36232107698506,6.09124469316073,5.68484961963305,6.38277400324833,7.05623497521662,3.96975373624463,5.57985328984661,5.07954231021883
E05009382,2.82311133154501,4.35787219852895,6.6800290520778,5.41412719663526,6.61205039273317,6.10516405507721,5.60398244385139,6.26455453253414,6.57458782012733,4.02066961106372,5.34779633378752,5.18603032101456
E05009383,2.39010812864953,3.84959681255389,7.06599014170095,5.56099127797496,6.654482711329,6.44486727874518,5.70855848198871,6.26251110636843,6.45358793356349,3.22409242420371,5.17214004889434,5.26443360189052
E05009384,2.93371591634432,4.29453626060708,6.72102304916651,5.59090781757851,7.03981227563168,6.86283122015546,5.63660084133139,6.52927896491261,6.25155408398704,3.5168592277479,5.29020816169153,5.25227085341316
E05009385,4.56255347879007,5.10425001163003,6.64899333692952,5.47161845839291,7.03139956684914,6.28893238708209,6.11618070901791,6.8126201008421,6.69708248822275,3.82366076815841,5.84547528398879,5.1084777749101
E05009386,3.19122238174756,4.57403070918865,6.73478760548469,5.45682542884879,6.68054424443215,5.19225869788524,6.04591172811551,6.32300983060317,6.91752621348257,3.81665970611314,5.67949965416026,5.23287053329311
