wd24cd,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,SUBD__Belonging..Connections.and.Leisure__Sense.of.community,SUBD__Belonging..Connections.and.Leisure__Social.relationships,SUBD__Foundations.of.Prosperity__An.inclusive.economy,SUBD__Foundations.of.Prosperity__Secure.Livelihoods,SUBD__Health.and.Healthy.Environments__Healthy..safe.and.clean.neighbourhoods,SUBD__Health.and.Healthy.Environments__Healthy.bodies.and.healthy.minds,SUBD__Opportunities.and.Aspirations__Freedom..choice.and.control,SUBD__Opportunities.and.Aspirations__Good.quality.basic.education,SUBD__Opportunities.and.Aspirations__Lifelong.learning,SUBD__Power..Voice.and.Influence__Political.inclusion,SUBD__Power..Voice.and.Influence__Voice.and.influence,DOM__Belonging..Connections.and.Leisure,DOM__Foundations.of.Prosperity,DOM__Health.and.Healthy.Environments,DOM__Opportunities.and.Aspirations,DOM__Power..Voice.and.Influence,CPI_z,CPI_0_10
E05009331,3.02934919997844,3.93320174944584,6.4109198066190896,5.22797123203219,5.50526634984213,4.08578245089348,6.23692757688686,6.05510043462748,6.49106428955669,3.26231280573025,5.05244112316529,4.15484297601977,4.45782358534779,5.36661879093716,5.161355013890169,5.269492509971474,4.60364204959253,-1.9899072379660463,1.198970119527687
E05009332,3.98174668651647,3.59826019550997,6.32033794867591,4.36503031768618,5.55328201093562,4.19472660352021,6.13778474487444,6.04648700539454,5.90091138895471,3.01071195686483,4.19524942157625,4.12497036088291,4.633448276900783,4.9591561643109,5.166255674197325,4.986036783738027,4.160109891229579,-2.662804961229783,0
E05009333,4.46613471880732,3.4888678742736,6.87265357291993,5.20575954120377,6.53528966729808,5.69116381353482,6.16702794219946,6.20877979951096,6.31459221623807,3.36119296167097,5.00015210487665,4.23881655310279,4.942552055333617,5.8705246042509245,5.92909587786714,5.294854992473334,4.619484328989721,-0.7769078406356046,3.360294169414941
E05009334,3.31865250745008,4.06958449480481,6.72837621692276,5.00415338505958,5.862243274767,5.93160455059049,6.26086072374718,6.44591221282781,6.65575775729592,2.82525797964262,5.14147813954308,4.29436028709743,4.705537739725884,5.43319832991329,6.096232637168835,5.30897598325545,4.717919213320255,-1.0401103053748086,2.8913196437207005
E05009335,3.73082504948857,4.43381391589074,6.71867141733277,5.57077329408273,6.88315942348542,6.27571477671777,6.11220510199183,6.25855199850262,6.37013343445003,3.51097506296918,4.9731807612884,4.24221770394703,4.9611034609040265,6.226966358784075,6.1939599393548,5.379886831973943,4.607699232617715,-0.3312223593330167,4.154417193337968
E05009336,4.9250727441733,4.04967172616082,6.54258887027138,5.64571898429207,6.62636009609948,5.55078121953476,6.46294868991341,6.51628570665496,6.31365489804678,3.69512427893699,4.76559758444361,4.26307726378145,5.1724444468685,6.136039540195775,6.006864954724085,5.50835496121291,4.514337424112529,-0.30758814362802517,4.19652867246635
E05009367,4.42994961955146,4.26071787519614,6.43459335045084,4.82866707289401,6.66007801165389,7.18642534060202,6.08967132571936,6.01272913972753,6.429123756287,4.10522595199051,5.78874783309028,4.57565940773258,5.041753615066146,5.7443725422739504,6.63804833316069,5.515692949335014,5.18220362041143,0.3013418670527727,5.281521030812909
E05009368,3.86450655501944,4.34692085985436,6.71380455470804,5.13170821233262,5.8966894765039,5.29342764866964,6.30633891711953,6.29377575607183,6.57467514193966,3.56464270055524,5.39820831854094,4.46674041648222,4.975077323193947,5.51419884441826,5.799883282894585,5.47769786618891,4.932474367511579,-0.6468444409865267,3.592041319735306
E05009369,4.00899258511807,4.85118941098841,6.71941409848964,5.86548576554829,6.99174688304348,5.97368279814259,6.06871780983547,6.41226057162965,7.06069258111503,4.30833985264174,5.53089741113447,4.57504299938697,5.193198698198707,6.428616324295885,6.02120030398903,5.92709766846214,5.052970205260721,0.6517810867681508,5.905934130490847
E05009370,3.9928433801651,4.36746712991688,6.71840202801595,5.8055220520286,7.16521032112128,6.56489255849052,6.47029745479885,6.38787473881111,6.75708905523046,4.33335905898924,5.42038734634956,4.51228143051469,5.02623751269931,6.4853661865749395,6.517595006644685,5.826107617676937,4.966334388432125,0.7069132202555054,6.004168644283728
E05009371,4.09845508363698,4.42909484679188,6.60526735734719,5.64810657499849,6.94065058765888,6.56546658476417,6.38851913750873,6.38568087437327,6.70838355630618,4.19638496915169,5.39430352822299,4.5283712327802,5.044272429258683,6.294378581328685,6.47699286113645,5.763483133277046,4.961337380501595,0.5321457234998259,5.692767670212391
E05009372,3.84221117991429,4.22181030360972,6.89674854778743,5.76109163519532,6.65714783474797,6.27725698403976,6.27485174562483,6.32170785089399,6.82714891518289,3.90022128419782,5.49736731514644,4.5282242350105,4.98692334377048,6.209119734971645,6.276054364832295,5.683026016758233,5.0127957750784695,0.29211202460969077,5.265075284431826
E05009373,4.25478961550108,4.26822113537106,6.67368163581597,5.53844397196966,6.74465007468914,6.22545258530734,6.35830827113109,6.29787942013269,6.67665474984604,3.86530278593868,5.44801733471602,4.54293059267627,5.065564128896036,6.1415470233294,6.291880428219216,5.613278985305803,4.995473963696146,0.26107300886698465,5.209769922073708
E05009374,4.27353899867165,4.17421701772879,6.72250351664586,5.47468312175676,6.9110061287606,6.58509787913819,6.48535500187338,6.24883030284163,6.41688092681495,3.65239498307802,5.42482670133576,4.49199026706073,5.0567531776821,6.1928446252586795,6.5352264405057845,5.4393687375782,4.9584084841982445,0.2754078739409501,5.2353118050329535
E05009375,4.95888562327467,4.74720219124589,6.70390641958317,5.54551307941496,6.75084289809024,6.80649091783044,6.23210736517964,6.26850466844379,7.37117603684352,4.06919841089141,5.5810719790793,4.41847063666408,5.4699980780345765,6.1481779887526,6.519299141505041,5.902959705392907,4.99977130787169,0.9615169931630928,6.457822008653285
E05009376,5.186590896771,3.2489553863319,6.74046543226301,5.52595938469623,6.52219589248365,5.23931704594358,6.27169352659667,6.37803676706064,6.47752236217475,4.00436901736296,6.13199425741638,4.57202624183185,5.058670571788637,6.02407763858994,5.755505286270125,5.619976048866117,5.352010249624115,0.15453636304536694,5.019942775155632
E05009377,4.08337210947879,3.88306342720254,6.70174325028819,6.09670536137237,6.76713835010395,6.01052824973551,6.32386602686049,5.91156045865293,6.174684029894,4.03515810428453,5.73248903215531,4.51321733685026,4.88939292898984,6.43192185573816,6.167197138298,5.373800864277153,5.122853184502785,0.13892825550280982,4.992132226956517
E05009378,4.25235494260182,4.17881580485652,6.53607119918601,5.65253660263563,6.80357666814885,5.86724968209229,6.30328264949278,6.20949730307893,6.61204442346886,4.11543759974568,5.70549317223459,4.47234525136949,4.98908064888145,6.22805663539224,6.085266165792535,5.645659775431157,5.08891921180204,0.22271914417992034,5.141430951471819
E05009379,3.67965534281048,4.70468081989167,6.45724554341929,5.2275585369821,6.30571095492297,6.08799698853854,6.04655141873166,5.85676948669121,6.63366433806711,3.62243574601444,4.90138988709616,4.63754552594348,4.94719390204048,5.766634745952535,6.0672742036351,5.37095652359092,4.76946770651982,-0.5683699870866431,3.7318672132096635
E05009380,5.49050981761234,3.75263546571129,7.01182730536741,5.56822426945407,7.12709154105167,7.04209096413568,6.60084353586737,6.34758959387134,7.1847748138179,3.95193600953954,5.09536143268246,4.54475334012477,5.418324196230347,6.34765790525287,6.821467250001525,5.82810013907626,4.820057386403615,1.0197557037626481,6.561591825959265
