wd24cd,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,SUBD__Belonging..Connections.and.Leisure__Sense.of.community,SUBD__Belonging..Connections.and.Leisure__Social.relationships,SUBD__Foundations.of.Prosperity__An.inclusive.economy,SUBD__Foundations.of.Prosperity__Secure.Livelihoods,SUBD__Health.and.Healthy.Environments__Healthy..safe.and.clean.neighbourhoods,SUBD__Health.and.Healthy.Environments__Healthy.bodies.and.healthy.minds,SUBD__Opportunities.and.Aspirations__Freedom..choice.and.control,SUBD__Opportunities.and.Aspirations__Good.quality.basic.education,SUBD__Opportunities.and.Aspirations__Lifelong.learning,SUBD__Power..Voice.and.Influence__Political.inclusion,SUBD__Power..Voice.and.Influence__Voice.and.influence
E05009327,3.54441657258469,4.06151092742105,6.72141153699019,5.06978153211497,6.1511806329221,5.92529586757107,5.91852347046175,5.82504865198466,6.41647859822136,3.16321088445908,5.21101522383439,4.27517162710643
E05009328,3.50590527083551,3.70681777164928,6.40777576516191,5.36291376482761,6.3200744347611,5.6669704667311,6.25168232377433,6.28229266358423,5.76083701158856,3.1506200467347,4.75092743209102,4.09672312614317
E05009329,3.24909247378282,4.24029317190687,6.76067627021627,5.0698788766658,6.003317713949,6.73248657078089,5.86126492116596,6.66762107794338,5.92987955334031,2.96258708434517,4.50003993659218,4.27663004698706
E05009330,3.8668321776013,4.14374846136541,6.83856760087765,5.51150428450369,6.39737541310745,6.08849369061931,6.07993631365874,6.14217762290706,7.06757939342499,3.92745164564415,5.35146946785598,4.23122956784873
E05009331,3.02934919997844,3.93320174944584,6.4109198066190896,5.22797123203219,5.50526634984213,4.08578245089348,6.23692757688686,6.05510043462748,6.49106428955669,3.26231280573025,5.05244112316529,4.15484297601977
E05009332,3.98174668651647,3.59826019550997,6.32033794867591,4.36503031768618,5.55328201093562,4.19472660352021,6.13778474487444,6.04648700539454,5.90091138895471,3.01071195686483,4.19524942157625,4.12497036088291
E05009333,4.46613471880732,3.4888678742736,6.87265357291993,5.20575954120377,6.53528966729808,5.69116381353482,6.16702794219946,6.20877979951096,6.31459221623807,3.36119296167097,5.00015210487665,4.23881655310279
E05009334,3.31865250745008,4.06958449480481,6.72837621692276,5.00415338505958,5.862243274767,5.93160455059049,6.26086072374718,6.44591221282781,6.65575775729592,2.82525797964262,5.14147813954308,4.29436028709743
E05009335,3.73082504948857,4.43381391589074,6.71867141733277,5.57077329408273,6.88315942348542,6.27571477671777,6.11220510199183,6.25855199850262,6.37013343445003,3.51097506296918,4.9731807612884,4.24221770394703
E05009336,4.9250727441733,4.04967172616082,6.54258887027138,5.64571898429207,6.62636009609948,5.55078121953476,6.46294868991341,6.51628570665496,6.31365489804678,3.69512427893699,4.76559758444361,4.26307726378145
